ds,y
2010-12-01 08:26:00,139.12
2010-12-01 08:28:00,22.200000000000003
2010-12-01 08:34:00,348.78000000000003
2010-12-01 08:35:00,17.85
2010-12-01 08:45:00,855.86
2010-12-01 09:00:00,204.0
2010-12-01 09:01:00,22.200000000000003
2010-12-01 09:02:00,259.86
2010-12-01 09:09:00,350.4
2010-12-01 09:32:00,588.6600000000001
2010-12-01 09:34:00,22.200000000000003
2010-12-01 09:37:00,444.98
2010-12-01 09:41:00,484.78
2010-12-01 09:45:00,430.6
2010-12-01 09:53:00,489.6
2010-12-01 09:56:00,130.85
2010-12-01 09:57:00,508.20000000000005
2010-12-01 09:58:00,3193.92
2010-12-01 09:59:00,226.14
2010-12-01 10:03:00,358.25
2010-12-01 10:19:00,1825.74
2010-12-01 10:29:00,318.14
2010-12-01 10:37:00,79.6
2010-12-01 10:39:00,1024.68
2010-12-01 10:47:00,507.88
2010-12-01 10:51:00,655.36
2010-12-01 10:52:00,448.76
2010-12-01 10:53:00,17.4
2010-12-01 11:21:00,354.23
2010-12-01 11:22:00,357.0
2010-12-01 11:27:00,192.60000000000002
2010-12-01 11:29:00,471.3
2010-12-01 11:32:00,326.4
2010-12-01 11:33:00,353.14
2010-12-01 11:34:00,22.200000000000003
2010-12-01 11:41:00,783.11
2010-12-01 11:45:00,243.28
2010-12-01 11:49:00,514.41
2010-12-01 11:57:00,390.79
2010-12-01 11:58:00,225.7
2010-12-01 12:03:00,233.45
2010-12-01 12:08:00,666.35
2010-12-01 12:12:00,842.12
2010-12-01 12:15:00,440.89
2010-12-01 12:22:00,312.94
2010-12-01 12:23:00,320.25
2010-12-01 12:27:00,2474.7400000000002
2010-12-01 12:31:00,165.89
2010-12-01 12:35:00,223.9
2010-12-01 12:36:00,95.29
2010-12-01 12:38:00,155.52
2010-12-01 12:40:00,295.5
2010-12-01 12:43:00,313.49
2010-12-01 12:48:00,4.95
2010-12-01 12:49:00,191.06
2010-12-01 12:50:00,203.3
2010-12-01 12:51:00,70.80000000000001
2010-12-01 12:54:00,136.24
2010-12-01 12:58:00,301.24
2010-12-01 13:04:00,261.48
2010-12-01 13:17:00,313.93
2010-12-01 13:20:00,161.0
2010-12-01 13:21:00,201.75
2010-12-01 13:23:00,950.09
2010-12-01 13:24:00,1919.1399999999999
2010-12-01 13:31:00,156.1
2010-12-01 13:33:00,115.65
2010-12-01 13:38:00,194.85000000000002
2010-12-01 13:45:00,165.04999999999998
2010-12-01 13:51:00,369.5
2010-12-01 13:54:00,255.0
2010-12-01 14:03:00,487.75
2010-12-01 14:05:00,555.38
2010-12-01 14:11:00,787.4
2010-12-01 14:34:00,146.61
2010-12-01 14:38:00,101.55
2010-12-01 14:41:00,537.38
2010-12-01 14:54:00,215.14999999999998
2010-12-01 15:00:00,799.4
2010-12-01 15:06:00,322.40000000000003
2010-12-01 15:08:00,532.59
2010-12-01 15:21:00,116.25
2010-12-01 15:27:00,251.40000000000003
2010-12-01 15:28:00,5.04
2010-12-01 15:35:00,662.29
2010-12-01 15:37:00,294.62
2010-12-01 15:40:00,442.34999999999997
2010-12-01 15:45:00,143.12
2010-12-01 15:46:00,17.85
2010-12-01 16:01:00,1552.98
2010-12-01 16:11:00,2558.42
2010-12-01 16:13:00,497.0
2010-12-01 16:15:00,279.6
2010-12-01 16:16:00,315.96000000000004
2010-12-01 16:17:00,97.19999999999999
